POSIX,source,app,x_x0,y_y0,t_t0
1491041037,41,2,0.0561504671986422,0.0426871472134656,0
1491042427,152,2,-0.0223092836201652,0.0176402363708736,0
1491054994,122,2,-0.00933036824124253,0.0674803946371057,0
1491055226,151,2,-0.0280225956318237,-0.153250005471683,1
1491065359,24,2,0.0223363190888397,-0.107381426543864,0
1491071200,37,2,-0.0843959509638511,-0.0629835966054193,0
1491130078,107,2,-0.0969928710431273,0.0299796569865813,3
1491146992,77,2,-0.0518887970604341,-0.151633781337665,1
1491153318,129,2,0.00546916304865341,0.0753300378574281,2
1491153616,121,2,-0.00468956819909728,-0.0578626630305281,0
1491157155,32,2,0.152101854306132,0.0380500360924503,0
1491163312,135,2,0.108627737020398,-0.0600509726082601,0
1491163455,145,2,-0.123111431864935,0.0889607853148013,0
1491207167,118,2,0.134285602189289,0.0929465686116886,1
1491207448,64,2,0.0140054339519425,0.108150869027315,0
1491207566,120,2,-0.125975587805225,-0.0659445902293318,0
1491207702,8,2,-0.0177589134032422,0.0327172384821627,0
1491216152,74,2,0.082218170797988,0.183179504351724,0
1491216935,122,2,-0.128395232650839,-0.160543619308779,0
1491217203,135,2,-0.034579289098106,0.0199804057232788,1
1491221176,48,2,-0.255723533450301,-0.0433764177479206,0
1491222755,102,2,-0.15723232136896,0.104595290648336,1
1491227008,110,2,0.199814889912821,0.105843551952432,2
1491236437,63,2,0.0666691977736818,-0.049475319033501,0
1491238574,20,2,0.0273167064333002,0.104609557553263,0
1491239848,45,2,0.00604292516166409,0.0080624851738749,0
1491241392,32,2,0.079134675131484,0.0854740426613253,3
1491241715,92,2,0.0316433868117211,-0.0181995723824395,0
1491243146,41,2,-0.107308672213045,-0.0372173686695209,1
1491293326,41,2,0.105903072274604,-0.142723254125075,1
1491293414,55,2,0.150149794395026,0.056149712860428,0
1491293663,27,2,-0.306327513026329,-0.0065971504810269,0
1491295202,51,2,-0.0442212464468049,-0.183372146904406,1
1491296553,66,2,-0.124261982255839,-0.0187649033491859,0
1491303642,30,2,0.068326086682836,-0.0531103211885478,1
1491311159,38,2,0.0830506927604239,-0.100712222511612,1
1491316072,62,2,0.0215180033295394,-0.0998427000176864,0
1491316417,66,2,-0.0507754711657631,0.0875466772803655,0
1491325206,138,2,-0.0691679383955338,0.0874057925270199,1
1491326228,85,2,-0.0551474700258143,0.0937718692352427,1
1491331750,18,2,-0.0483117042816072,0.14373332018616,0
1491333550,5,2,-0.160046573380747,0.0370794674865152,1
1491380348,60,2,-0.0134287117899689,-0.00175098251423408,0
1491386899,152,2,0.0981470820159149,0.00662041214280345,1
1491388730,131,2,0.104855094602606,-0.0461852952842545,0
1491389474,62,2,-0.0252756277384052,-0.0103261277642826,4
